7538-0200-0255,Notebook,Material,125.99,"Notebook - 100 pages, ruled."
1798-2146-1749,Sticky Notes,Material,102.25,Sticky Notes - Pack of 50 sheets.
0243-4435-6832,Mechanical Pencil,Material,109.99,Mechanical Pencil - 0.7mm lead.
9613-1013-0927,Highlighter,Material,115.50,Highlighter - Fluorescent colors.
9001-6137-7734,Paper Clips,Material,120.75,"Paper Clips - Box of 100, assorted colors."
8189-0359-9755,Whiteboard Marker,Material,105.99,"Whiteboard Marker - Black, fine tip."
6902-4655-0783,Practice-kit,Material,110.25,"Practice-kit - Small, pack of 12."
8330-9622-7573,Correction Tape,Material,103.49,"Correction Tape - Easy to use, 5mm x 6m."
9092-2140-9493,File Folders,Material,150.99,"File Folders - Pack of 50, assorted colors."
3333-7834-5149,Ruler,Material,115.75,"Ruler - 12 inches, transparent."
8203-7301-7084,Glue Stick,Material,101.99,"Glue Stick - Washable, 20g."
6977-7374-6615,Scissors,Material,105.50,"Scissors - Stainless steel, 8-inch."
2509-5704-1685,Stapler,Material,170.99,"Stapler - Heavy-duty, includes staples."
4643-9914-9532,Index Cards,Material,112.25,"Index Cards - Pack of 100, lined."
9362-5680-7737,Notebook Dividers,Material,103.25,"Notebook Dividers - Set of 5, multi-color tabs."
2742-5936-3491,Desk Organizer,Material,199.99,"Desk Organizer - 6 compartments, black."
6625-3598-4287,Staple Remover,Material,101.25,Staple Remover - Ergonomic design.
2001-6158-8095,Notebook Cover,Material,145.75,"Notebook Cover - Leather, fits A5 size."
0380-6752-5136,Binder,Material,108.49,"Binder - 3-ring, 1-inch capacity."
1211-5511-6856,Bookends,Material,106.25,"Bookends - Heavy-duty, non-slip base."
9502-7746-4472,Calculator,Material,199.99,Calculator - Advanced scientific functions.